pdf_path,page,page_width,page_height,text
E:\SCHEMATICai\samples\CP-1500-1599\CP-1500-TEMP.pdf,1,612.0,792.0,
E:\SCHEMATICai\samples\CP-1500-1599\CP-1500-TEMP.pdf,2,612.0,792.0,
E:\SCHEMATICai\samples\CP-1500-1599\CP-1500-TEMP.pdf,3,612.0,792.0,
E:\SCHEMATICai\samples\CP-1500-1599\CP-1500-TEMP.pdf,4,612.0,792.0,
E:\SCHEMATICai\samples\CP-1500-1599\CP-1500-TEMP.pdf,5,612.0,792.0,
E:\SCHEMATICai\samples\CP-1500-1599\CP-1500-TEMP.pdf,6,612.0,792.0,
E:\SCHEMATICai\samples\CP-1500-1599\CP-1500.pdf,1,612.0,792.0,
E:\SCHEMATICai\samples\CP-1500-1599\CP-1500.pdf,2,612.0,792.0,
E:\SCHEMATICai\samples\CP-1500-1599\CP-1500.pdf,3,612.0,792.0,
E:\SCHEMATICai\samples\CP-1500-1599\CP-1500.pdf,4,612.0,792.0,
E:\SCHEMATICai\samples\CP-1500-1599\CP-1500.pdf,5,612.0,792.0,
E:\SCHEMATICai\samples\CP-1500-1599\CP-1500.pdf,6,612.0,792.0,
E:\SCHEMATICai\samples\CP-1500-1599\CP-1500.pdf,7,992.0,744.0,
E:\SCHEMATICai\samples\CP-1500-1599\CP-1500.pdf,8,992.0,744.0,
E:\SCHEMATICai\samples\CP-1500-1599\CP-1501.pdf,1,612.0,792.0,
E:\SCHEMATICai\samples\CP-1500-1599\CP-1501.pdf,2,612.0,792.0,
E:\SCHEMATICai\samples\CP-1500-1599\CP-1501.pdf,3,612.0,792.0,
E:\SCHEMATICai\samples\CP-1500-1599\CP-1501.pdf,4,612.0,792.0,
E:\SCHEMATICai\samples\CP-1500-1599\CP-1501.pdf,5,612.0,792.0,
E:\SCHEMATICai\samples\CP-1500-1599\CP-1501.pdf,6,612.0,792.0,
E:\SCHEMATICai\samples\CP-1500-1599\CP-1502.pdf,1,612.0,792.0,
E:\SCHEMATICai\samples\CP-1500-1599\CP-1502.pdf,2,612.0,792.0,
E:\SCHEMATICai\samples\CP-1500-1599\CP-1502.pdf,3,612.0,792.0,
E:\SCHEMATICai\samples\CP-1500-1599\CP-1502.pdf,4,612.0,792.0,
E:\SCHEMATICai\samples\CP-1500-1599\CP-1502.pdf,5,612.0,792.0,
E:\SCHEMATICai\samples\CP-1500-1599\CP-1502.pdf,6,612.0,792.0,
E:\SCHEMATICai\samples\CP-1500-1599\CP-1503.pdf,1,612.0,792.0,
E:\SCHEMATICai\samples\CP-1500-1599\CP-1503.pdf,2,612.0,792.0,
E:\SCHEMATICai\samples\CP-1500-1599\CP-1503.pdf,3,612.0,792.0,
E:\SCHEMATICai\samples\CP-1500-1599\CP-1503.pdf,4,612.0,792.0,
E:\SCHEMATICai\samples\CP-1500-1599\CP-1503.pdf,5,612.0,792.0,
E:\SCHEMATICai\samples\CP-1500-1599\CP-1503.pdf,6,612.0,792.0,
E:\SCHEMATICai\samples\CP-1500-1599\CP-1503.pdf,7,612.0,792.0,
E:\SCHEMATICai\samples\CP-1500-1599\CP-1504.pdf,1,612.0,792.0,
E:\SCHEMATICai\samples\CP-1500-1599\CP-1504.pdf,2,612.0,792.0,
E:\SCHEMATICai\samples\CP-1500-1599\CP-1504.pdf,3,612.0,792.0,
E:\SCHEMATICai\samples\CP-1500-1599\CP-1504.pdf,4,612.0,792.0,
