pdf_path,page,page_width,page_height,text
samples\CP-8100-8199\CP-8102.pdf,1,1700,2200,"DELTA
PROCESS
4Z4EQUIPMENT

CAMERON PARISH
WATERWORKS DISTRICT #7
WATER WELL #5
CONTROL PANEL

PROJECT SUBMITTAL

PLEASE REVIEW THOROUGHLY. THESE DRAWINGS ARE OUR
INTERPRETATION OF THE PROJECT'S REQUIREMENTS. ANY
CHANGES AFTER FABRICATION WILL BE DONE AT EXTRA COST.

JANUARY 24, 2026

Delta Process Equipment
8275 Florida Blvd.
Denham Springs, LA 70726
(225) 665-1666 Fax (225) 665-1855

OCOX RESEARCH AND TECHNOLOGY, INC. 2026

CP-8102"
samples\CP-8100-8199\CP-8102.pdf,2,1700,2200,"SOLD TO: Delta Process SHIP TO:

TAG: Cameron Parish Waterworks District #7

Water Well #5 Control Panel

SPECIAL NOTES: Alarm Light - Panel Door Mount Xx
Alarm Light - Panel Top Mount
Alarm Light - Remote
Alarm Test Switch
Alarm Silence Switch
Alarm Acknowledge Switch
Alternator with Lead Pump Selector Switch
Audible Alarm - Bell
Audible Alarm - Horn
Audible Alarm - Piezzo
Cycle Counters
Panel Type Simplex Economy Version
Voltage 240 Elapsed Time Meters x
Phase/HZ 3/60 Flasher xX
No. Motors I Green Run Lights vs. Red Xx
HP 50 Ground Fault Receptacle XxX
FLA 130est. High Temp Lights xX
Pump Manufacturer High Temp Pump Shutdown - Auto Reset xX
Type of Pump Well High Temp Pump Shutdown - Manual Reset
Catalog Number Intrinsically Safe Relays Pts
Capacitors [No Lightning Arrestor X
Control Voltage 120V. Main Disconnect with door Mt. Handle X
Control Power Transformer VA =5000_|Yes Panel Heater/Thermostat W = 150 X
Enclosure NEMA Rating 4x Phase Monitor
Enclosure Material Stainless Steel Pole, Box, Seal
Enclosure Size 30x24x12 Seal Fail Lights
Tnner Swing Panel Yes Seal Fail Relay - Fixed
Control Sensor SCADA Seal Fail Relay - Adjustable
ULS08A Labeling No Seal Fail Shutdown
UL698A Labeling INo Starters - IEC
Starters - NEMA
Unpowered Alarm Circuits # as needed xX
COX"" CAMO’ System
Opti-Float® Level Dectector Pts
OTHER: Spare breakers, panel light,
XT3 breaker
Drawing Title
PANEL DESCRIPTION
DATE : REFERENCE PRAWN | aoa 7 sr ON LOCA ECN ants BY
01/24/26 AD. ” AD. . BY SAL BY DATE
Project Title 8275 Florida Blvd. PURCHASE ORDER NUMBER
DELTA Denham Springs, LA
WATER WELL Fo 70726 DRAWING NUMBER
CONTROL PANEL  EGUIPMENT Bh. (225) 665-1666 ENE a"
samples\CP-8100-8199\CP-8102.pdf,3,1700,2200,"Lt [2 [3 MAIN SERVICE

oto 240V, 36
1 1 1

1 1 1

dx, d\6

y>=5 200A, 3POLE
07 070

3/o

@}-----o

MAIN CIRCUIT BREAKER
L WITH THROUGH DOOR HANDLE
DISTRIBUTION BLOCK 1
? EXTERNAL
Loh en VFD
\ u u
\
Pert —-------- ~~ +-© @}------ on
\
Vi y
LIGHTNING \| 4
ARRESTOR WA 1 SOHP
\ WELL
[| 9 rqr rrr tcc tcc r 230V,30
\
\
\
\
\ L3
L-- + L©
208 7
cat -\2P
To _ o+
cHEMicAL ~< ! 50A
TREATMENT A CB2 /.2P
PLANT <4 & > 4 raps (®)-------- 4
i]
P?’\ ! EXTERNAL A
oO {%)---7 | TRANSFORMER
SKVA
240V=120VAC
DISTRIBUTION SOA —
83 -\1P
oo oO 12 mm —_
1
4 cB4 6B 149 &)_@ roan §GFI RECEPTACLE
LN
+ 025 SF a t
NP
¢ cBB6 6 129 (29) —scana — —(30) °
lain
e C875 6} 129 # 31)— —HEaT— — +32 :
20A TRACE
rN
¢ cess OF 129 #2 (3) _oupwen,— (34)
158 T-STAT
LN
ce9 iP
¢ Oo Oo Tag °C? 149 2 HEATER) °
ote GROUND
TP VERIFY 120V BETWEEN CB10_ AND NEUTRAL BAR
fe) BEFORE TURNING ON CIRCUIT BREAKER

0000000

ASHIPPED LOOSE

Drawing Title
POWER DIAGRAM
REFERENCE DRAWING. No. REVISION-LOCATION ECN | DATE _| BY
DATE Say Sales Engineer [Apphoation Engineer DRAWN APPROVED
01/24/26 AD. AD. SAL BY DATE
Project Title $075 Florida Blvd. PURCHASE ORDER NUMBER
DELTA Denham Springs, LA
WATER WELL PROCESS 70726 DRAWING NUMBER
CP-8102
CONTROL PANEL JEQGUIPMENT pp. Oe oe eee SHEET NUMBER
ax (225) 665- 2"
samples\CP-8100-8199\CP-8102.pdf,4,1700,2200,"APROVIDED BY OTHERS/EXTERNAL

U3 L2 WELL VFD A
+—-991 (11) ©) 96 &7-\
| _ ot- WELL
992 (12) 97 sO) ve
j---9 93 (L3) ™ 98 &7—
Lre99 6 7-~ @
ET
2 Wy.
RELAY 1 + G
9 54 3 A
eG
4 44
PO) vy
5, Vay
RELAY 2 o-- {5} + fay
6 i
® Cc. rey {i Ue
------4 —>9 27 i
Tor-1-b i
VFD CALL @)------4 _-0 18 RELAY 7 o-—-|-1{6)
® (OPTIONAL SPARE) I
4 © 1
DANFOSS VFD !

ELAPSED TIME METER

® WELL RUN LIGHT

WELL FAULT LIGHT

Drawing Title

CONTROL DIAGRAM

REFERENCE DRAWING

NO. REVISION - LOCATION ECN | DATE BY
DATE: SIN Sales Engineer | Application Engineer DRAWN APPROVED
01/24/26 AD. AD. BY: SAL BY: DATE
Project Title 8275 Florida Blvd. PURCHASE ORDER NUMBER
DELTA Denham Springs, LA
70726 DRAWING NUMBER
WATER WELL PROCESS cpaion
CONTROL PANEL JEGUIPMENT pp. (O59) os eee SHEET NUMBER
ax (2 - 4"
samples\CP-8100-8199\CP-8102.pdf,5,1700,2200,"H N
1-3 ©
¢
CALL
2-2 @ FLASH Vv WELL CALL LIGHT
+ ee {8} FLASH: FLUSH WATER
CALL “~ SOLID: WELL PUMP
CALL
(ON: 2min
11 @ WELL START DELAY
Ye
(OFF: 3min
rs D2 FLUSH WATER TIMER
Nur
“The @
WELL CALL
@ Fut N.C. ENERGIZE
2A/BAF TD2-1 TO OPEN
ve‘ FLUSH WATER
(®) ® S.A SOLENOID VALVE
Yay. LOW FLOW
Low FLOW ere PILOT LIGHT
ns @ (op) LOW FLOW
t——_®---1 ----@ OTNERST © 7 AUX RELAY
FROM FLOW METER
CLOSE ON LOW FLOW Ly
vant CONTROL POWER
we PILOT LIGHT
(ora CONTROL POWER
+ eR ® 7 AUX RELAY
Vey CHEM TREATMENT
G
CHEM TTVEN ENT A PILOT LIGHT
---| |---g ® b(cre)-4 4 CHEM TREATMENT
FROM CHEM BLOG. Ney ACTIVE AUX RELAY
TEMP SWITCH
>——1?--- -i8 (cre) @ HIGH TEMP RELAY
“at ee)
CR6-2 \V~Z
¢ oY) (A) @ HIGH TEMP PILOT LIGHT
ms
@ RI CR2-1 CR3-1 CR4-1 CR5-1
ONO @7'O OF' SB O'S @FO
WELL WELL. LOW CONTROL CHEM
RUN FAULT FLOW POWER TREATMENT
FAIL ACTIVE rot roy it
\ j 1
TO SCADA hoor ro
PRESSURE_X—DUCER
* REMOVE JUMPERS AND INSTALL LOCKOUT DEVICES IF REQUIRED. FEED— THROUGH
Drawing Title
CONTROL DIAGRAM
REFERENCE DRAWING NO. REVISION-LOCATION ECN DATE BY
DATE Sales Engineer [Application Engineer DRAWN APPROVED
01/24/26 AD. SAL BY DATE
Project Title 8275 Florida Blvd. PURCHASE ORDER NUMBER
DELTA Denham Springs, LA
WA TER WELL PROCESS 70726 DRAWING NUMBER
CONTROL PANEL EQUIPMENT | ”». 225) 665-1666 [Ee

Fax (225) 665-1855

4"
samples\CP-8100-8199\CP-8102.pdf,6,1700,2200,"NOTE:

a NEMA 4X STAINLESS STEEL ENCLOSURE

2. awumnum SWING OUT pane S

|

I LIGHTNING I
| ARRESTER \

L--~_4I

Q

VIEW_OF INNER SWING PANEL

SEWER GASSES WILL DESTROY COMPONENTS IN PANEL.
PROPER SEALS MUST BE INSTALLED EXTERNAL TO THE
PANEL TO PREVENT ENTRY OF GASSES.

NAMEPLATE SCHEDULE

NP-1

NP-2
NP-3
NP—4
NP-5
NP-6
NP-7
NP-8
NP-9

WELL CALL

WELL RUN
HAND—OFF—AUTO

VFD FAULT

CABINET LIGHT/OFF—ON
LOW FLOW

CHEM TREATMENT/ACTIVE
CONTROL POWER

HIGH TEMP.

Drawing Title
ENCLOSURE
REFERENCE DRAWING NO. REVISION-LOCATION ECN [| DATE [BY
DATE Sales Engineer [Apphoation Engineer DRAWN APPROVED
01/24/26 AD. SAL BY DATE
Project Title $275 Florida Blvd. PURCHASE ORDER NUMBER
DELTA Denham Springs, LA
WATER WELL PROCESS 70726 DRAWING NUMBER
5 es CP-8102
CONTROL PANEL JEGUIPMENT Fee (38) 668-1885 SHEET NUMBER :"
samples\CP-8100-8199\CP-8102.pdf,7,1700,2200,"BILL OF MATERIALS

MANUFACTURER PART NUMBER DESCRIPTION

SCE-30EL2412SSLP

ENCLOSURE

CAMO302412UU

BACKPLATE

XT3NUS200AFFOOOXXX

CBI

MPDB67523

DISTRIBUTION BLOCK

SDSA3650

LIGHTNING ARRESTOR

QOU250

CB2

QOU150

CB3

1321580

DISTRIBUTION BLOCK

W]OO]N IO}! BI] Gyno} —

QOU110

CB5,10

QOU120

CB6-8

C3SS110B—20

3 POS. SWITCH

46.52.8.120.0054

CONTROL RELAY

85.04.0.125.0000

TD1-2

sINo}No}a@]—] ou] mo] }—o}—a]afo]o]a]a

94.04

D_BASE

TSOB—212

LAPSED TIME METER

BUSSMANN

BAF2

USE 1

PHOENIX

5048386

USE HOLDER

ZERUST

VC2-1

ORROSION_ INHIBITOR

HUBBELL

FISGYL

ROUND FAULT RECEPTACLE

COX

4
[o)
[e)
~

ABINET LIGHT

ABB

HB65J10

ANDLE

ABB

XP10X255

HAFT

ABB

2SS110B—20

=POS SWITCH

ABB

LS13Y

MBER PILOT LIGHT

SAGINAW

CE-—PLWKB

ADLOCK_ HANDLE

FINDER

T.81.0.000.2401

HERMOSTAT

ABB

L513L

LUE PILOT LIGHT

LITTLEFUSE

S$126RC

LASHER

FINDER

H.51.0.230.0100

EATER

SQUARE D

0QU115

ODI DDS VSIN|O/LTIOJO/O}] 4 aM)H4

B4,9

ABB

L513G

REEN PILOT LIGHT

ABB

L513C

=/0

HITE PILOT LIGHT

SQUARE D

QIDIO/POWI FQN IPIQIOIO/Q]4|@

[e)
Cc
NO
NO
oO

ive)
ay

MARATHON

=
Ww
i)
Ww
o)
oo
[o)

STRIBUTION BLOCK

ABB

XTBRHEBFP

ECHANISM

ww) }]—] a} I po}no] a] a] a]

FS

PAG

K
MPDBC6667

DOlZ|VIOQ

ST BLOCK COVER

Drawing Title

BILL OF MATERIALS

CONTROL PANEL

Ph. (225) 665-1666

CP-8102

REFERENCE DRAWING NO. REVISION-LOCATION ECN DATE BY
DATE PAGE 1 OF 2 low Sales Engineer [Application Engineer DRAWN APPROVED
01/24/26 A.D. SAL BY DATE
Project Title $275 Florida Blvd. PURCHASE ORDER NUMBER
DELTA Denham Springs, LA
WATER WELL PROCESS 70726 DRAWING NUMBER
JEGUIPMENT

Fax (225) 665-1855 SHEET NUMBER

6"
samples\CP-8100-8199\CP-8102.pdf,8,1700,2200,"SPARES/ SHIP LOOSE

TEM | QTY. | MANUFACTURER | | PARTNUMBER | NUMBER

| DESCRIPTION, |

SQUARE D 5S1F TRANSFORMER
2 2__| BUSSMANN BAF2 SPARES

>K SPARE PARTS

ASHIPPED LOOSE [ A (5 [— y ( |

2

CONTROL PANEL

Ph. (225) 665-1666

CP-8102

Drawing Title

BILL _OF MATERIALS REFERENCE DRAWING NO. REVISION-LOCATION ECN [| DATE [BY
DATE PAGE 2 OF 2 low Sales Engineer [Application Engineer DRAWN APPROVED
01/24/26 AD. SAL BY DATE

Project Title $275 Florida Blvd. PURCHASE ORDER NUMBER
DELTA Denham Springs, LA
WATER WELL PROCESS 70726 DRAWING NUMBER
JEGUIPMENT

Fax (225) 665-1855

SHEET NUMBER."
samples\CP-8100-8199\CP-8104.pdf,1,1700,2200,"DELTA
PROCESS
JZEQUIPMENT

STRAWBERRY ESTATES
DUPLEX PUMP
CONTROL PANEL

PROJECT SUBMITTAL

PLEASE REVIEW THOROUGHLY. THESE DRAWINGS ARE OUR
INTERPRETATION OF THE PROJECT'S REQUIREMENTS. ANY
CHANGES AFTER FABRICATION WILL BE DONE AT EXTRA COST.

JANUARY 27, 2026

Delta Process Equipment
8275 Florida Blvd.
Denham Springs, LA 70726
(225) 665-1666 Fax (225) 665-1855

©COX RESEARCH AND TECHNOLOGY, INC. 2026

CP-8104"
samples\CP-8100-8199\CP-8104.pdf,2,1700,2200,"SOLD TO: Delta Process SHIP TO: Delta Process
TAG: Strawberry Estates Duplex Pump
Control Panel
SPECIAL NOTES: Alarm Light - Panel Door Mount
Alarm Light - Panel Top Mount x
Alarm Light - Remote
Alarm Test Switch
Alarm Silence Switch
Alarm Acknowledge Switch
Alternator with Lead Pump Selector Switch xX
Audible Alarm - Bell
Audible Alarm - Horn
Audible Alarm - Piezo
Panel Type Duplex Cycle Counters
Voltage 120/240V Economy Version
Phase/HZ 1/60 Elapsed Time Meters Xx
No. Motors 2 Flasher
HP 2 Green Run Lights vs. Red
FLA 14.5 Ground Fault Receptacle x
Pump Manufacturer Zoeller High Temp Lights
Type of Pump Submersible High Temp Pump Shutdown - Auto Reset xX
Catalog Number E6122-A High Temp Pump Shutdown - Manual Reset
Capacitors Yes Intrinsically Safe Relays Pts
Control Voltage _ T20V Lightning Arrestor xX
Control Power Transformer VA = INo Main Disconnect without door Mt. Handle Xx
Enclosure NEMA Rating Ax Panel Heater/Thermostat_ W =
Enclosure Material Fiberglass Phase Monitor
Enclosure Size 24x20x10 Pole, Box, Seal
Inner Swing Panel Yes Seal Fail Lights x
Control Sensor Floats Seal Fail Relay - Fixed
ULS08A Labeling INo Seal Fail Relay - Adjustable
UL698A Labeling INo Seal Fail Shutdown
Starters - IEC xX
Starters - NEMA
Unpowered Alarm Circuits #2 Xx
OTHER:
Drawing Title
PANEL DESCRIPTION
DATE : REFERENCE PRAWN | aoa 7 sr ON LOCA ECN ants BY
01/27/26 TM. ” ° BY JCF BY DATE
Project Title PURCHASE ORDER NUMBER

8275 Florida Blvd.
DELTA Denham Springs, LA
DUPLEX PUMP PROCESS 70728
CP-8104
EQUIPMENT | ’b. 225) 665-1666 SUEFTRUMAER

CONTROL PANEL

DRAWING NUMBER
Fax (225) 665-1855 1"
