pdf_path,page,page_width,page_height,word,x0,y0,x1,y1,block,line,word_no
samples\CP-8100-8199\CP-8102.pdf,1,1700,2200,DELTA,719,601,977,642,3,1,1
samples\CP-8100-8199\CP-8102.pdf,1,1700,2200,PROCESS,710,666,1110,709,3,2,1
samples\CP-8100-8199\CP-8102.pdf,1,1700,2200,4Z4EQUIPMENT,664,732,1196,785,3,3,1
samples\CP-8100-8199\CP-8102.pdf,1,1700,2200,CAMERON,676,932,872,960,4,1,1
samples\CP-8100-8199\CP-8102.pdf,1,1700,2200,PARISH,883,932,1020,960,4,1,2
samples\CP-8100-8199\CP-8102.pdf,1,1700,2200,WATERWORKS,591,974,870,1002,4,2,1
samples\CP-8100-8199\CP-8102.pdf,1,1700,2200,DISTRICT,882,974,1058,1002,4,2,2
samples\CP-8100-8199\CP-8102.pdf,1,1700,2200,#7,1069,974,1106,1002,4,2,3
samples\CP-8100-8199\CP-8102.pdf,1,1700,2200,WATER,696,1017,834,1044,4,3,1
samples\CP-8100-8199\CP-8102.pdf,1,1700,2200,WELL,845,1017,953,1044,4,3,2
samples\CP-8100-8199\CP-8102.pdf,1,1700,2200,#5,965,1016,1000,1044,4,3,3
samples\CP-8100-8199\CP-8102.pdf,1,1700,2200,CONTROL,688,1060,872,1088,4,4,1
samples\CP-8100-8199\CP-8102.pdf,1,1700,2200,PANEL,884,1061,1009,1087,4,4,2
samples\CP-8100-8199\CP-8102.pdf,1,1700,2200,PROJECT,595,1298,807,1333,9,1,1
samples\CP-8100-8199\CP-8102.pdf,1,1700,2200,SUBMITTAL,823,1298,1108,1333,9,1,2
samples\CP-8100-8199\CP-8102.pdf,1,1700,2200,PLEASE,567,1349,638,1362,10,1,1
samples\CP-8100-8199\CP-8102.pdf,1,1700,2200,REVIEW,644,1349,720,1362,10,1,2
samples\CP-8100-8199\CP-8102.pdf,1,1700,2200,THOROUGHLY.,726,1349,867,1362,10,1,3
samples\CP-8100-8199\CP-8102.pdf,1,1700,2200,THESE,874,1349,935,1362,10,1,4
samples\CP-8100-8199\CP-8102.pdf,1,1700,2200,DRAWINGS,941,1349,1046,1362,10,1,5
samples\CP-8100-8199\CP-8102.pdf,1,1700,2200,ARE,1053,1349,1091,1362,10,1,6
samples\CP-8100-8199\CP-8102.pdf,1,1700,2200,OUR,1097,1349,1138,1362,10,1,7
samples\CP-8100-8199\CP-8102.pdf,1,1700,2200,INTERPRETATION,575,1382,741,1395,10,2,1
samples\CP-8100-8199\CP-8102.pdf,1,1700,2200,OF,748,1382,772,1395,10,2,2
samples\CP-8100-8199\CP-8102.pdf,1,1700,2200,THE,778,1382,815,1395,10,2,3
samples\CP-8100-8199\CP-8102.pdf,1,1700,2200,PROJECT'S,822,1381,918,1395,10,2,4
samples\CP-8100-8199\CP-8102.pdf,1,1700,2200,REQUIREMENTS.,925,1382,1081,1398,10,2,5
samples\CP-8100-8199\CP-8102.pdf,1,1700,2200,ANY,1088,1382,1129,1395,10,2,6
samples\CP-8100-8199\CP-8102.pdf,1,1700,2200,CHANGES,549,1411,640,1424,10,3,1
samples\CP-8100-8199\CP-8102.pdf,1,1700,2200,AFTER,647,1411,709,1424,10,3,2
samples\CP-8100-8199\CP-8102.pdf,1,1700,2200,FABRICATION,715,1411,847,1424,10,3,3
samples\CP-8100-8199\CP-8102.pdf,1,1700,2200,WILL,854,1411,902,1424,10,3,4
samples\CP-8100-8199\CP-8102.pdf,1,1700,2200,BE,909,1411,932,1424,10,3,5
samples\CP-8100-8199\CP-8102.pdf,1,1700,2200,DONE,939,1411,992,1424,10,3,6
samples\CP-8100-8199\CP-8102.pdf,1,1700,2200,AT,999,1411,1024,1424,10,3,7
samples\CP-8100-8199\CP-8102.pdf,1,1700,2200,EXTRA,1030,1411,1095,1424,10,3,8
samples\CP-8100-8199\CP-8102.pdf,1,1700,2200,COST.,1101,1411,1155,1424,10,3,9
samples\CP-8100-8199\CP-8102.pdf,1,1700,2200,JANUARY,640,1436,873,1471,11,1,1
samples\CP-8100-8199\CP-8102.pdf,1,1700,2200,"24,",888,1436,948,1478,11,1,2
samples\CP-8100-8199\CP-8102.pdf,1,1700,2200,2026,964,1436,1062,1471,11,1,3
samples\CP-8100-8199\CP-8102.pdf,1,1700,2200,Delta,686,1901,747,1921,12,1,1
samples\CP-8100-8199\CP-8102.pdf,1,1700,2200,Process,756,1902,841,1921,12,1,2
samples\CP-8100-8199\CP-8102.pdf,1,1700,2200,Equipment,851,1901,975,1927,12,1,3
samples\CP-8100-8199\CP-8102.pdf,1,1700,2200,8275,723,1932,777,1951,12,2,1
samples\CP-8100-8199\CP-8102.pdf,1,1700,2200,Florida,787,1931,869,1951,12,2,2
samples\CP-8100-8199\CP-8102.pdf,1,1700,2200,Blvd.,877,1931,937,1951,12,2,3
samples\CP-8100-8199\CP-8102.pdf,1,1700,2200,Denham,669,1960,765,1980,12,3,1
samples\CP-8100-8199\CP-8102.pdf,1,1700,2200,"Springs,",775,1960,866,1986,12,3,2
samples\CP-8100-8199\CP-8102.pdf,1,1700,2200,LA,876,1961,913,1980,12,3,3
samples\CP-8100-8199\CP-8102.pdf,1,1700,2200,70726,922,1961,991,1980,12,3,4
samples\CP-8100-8199\CP-8102.pdf,1,1700,2200,(225),620,1989,680,2014,12,4,1
samples\CP-8100-8199\CP-8102.pdf,1,1700,2200,665-1666,689,1990,797,2009,12,4,2
samples\CP-8100-8199\CP-8102.pdf,1,1700,2200,Fax,813,1990,855,2009,12,4,3
samples\CP-8100-8199\CP-8102.pdf,1,1700,2200,(225),864,1989,924,2014,12,4,4
samples\CP-8100-8199\CP-8102.pdf,1,1700,2200,665-1855,933,1990,1040,2009,12,4,5
samples\CP-8100-8199\CP-8102.pdf,1,1700,2200,OCOX,140,2040,194,2055,13,1,1
samples\CP-8100-8199\CP-8102.pdf,1,1700,2200,RESEARCH,200,2043,293,2055,13,1,2
samples\CP-8100-8199\CP-8102.pdf,1,1700,2200,AND,299,2043,338,2055,13,1,3
samples\CP-8100-8199\CP-8102.pdf,1,1700,2200,"TECHNOLOGY,",344,2043,471,2055,13,1,4
samples\CP-8100-8199\CP-8102.pdf,1,1700,2200,INC.,478,2043,507,2055,13,1,5
samples\CP-8100-8199\CP-8102.pdf,1,1700,2200,2026,518,2043,553,2055,13,1,6
samples\CP-8100-8199\CP-8102.pdf,1,1700,2200,CP-8102,1346,2013,1445,2032,14,1,1
samples\CP-8100-8199\CP-8102.pdf,2,1700,2200,SOLD,176,203,235,219,4,1,1
samples\CP-8100-8199\CP-8102.pdf,2,1700,2200,TO:,243,203,278,219,4,1,2
samples\CP-8100-8199\CP-8102.pdf,2,1700,2200,Delta,287,203,337,219,4,1,3
samples\CP-8100-8199\CP-8102.pdf,2,1700,2200,Process,345,203,415,219,4,1,4
samples\CP-8100-8199\CP-8102.pdf,2,1700,2200,SHIP,1043,203,1092,219,4,1,5
samples\CP-8100-8199\CP-8102.pdf,2,1700,2200,TO:,1100,203,1135,219,4,1,6
samples\CP-8100-8199\CP-8102.pdf,2,1700,2200,TAG:,175,252,227,268,7,1,1
samples\CP-8100-8199\CP-8102.pdf,2,1700,2200,Cameron,236,252,322,268,7,1,2
samples\CP-8100-8199\CP-8102.pdf,2,1700,2200,Parish,329,252,387,268,7,1,3
samples\CP-8100-8199\CP-8102.pdf,2,1700,2200,Waterworks,394,252,509,268,7,1,4
samples\CP-8100-8199\CP-8102.pdf,2,1700,2200,District,517,252,586,268,7,1,5
samples\CP-8100-8199\CP-8102.pdf,2,1700,2200,#7,593,252,615,268,7,1,6
samples\CP-8100-8199\CP-8102.pdf,2,1700,2200,Water,175,302,232,318,10,1,1
samples\CP-8100-8199\CP-8102.pdf,2,1700,2200,Well,239,302,283,318,10,1,2
samples\CP-8100-8199\CP-8102.pdf,2,1700,2200,#5,290,302,312,318,10,1,3
samples\CP-8100-8199\CP-8102.pdf,2,1700,2200,Control,327,302,397,318,10,1,4
samples\CP-8100-8199\CP-8102.pdf,2,1700,2200,Panel,405,302,456,318,10,1,5
samples\CP-8100-8199\CP-8102.pdf,2,1700,2200,SPECIAL,171,401,265,417,99,1,1
samples\CP-8100-8199\CP-8102.pdf,2,1700,2200,NOTES:,272,401,353,417,99,1,2
samples\CP-8100-8199\CP-8102.pdf,2,1700,2200,Alarm,843,399,923,421,99,1,3
samples\CP-8100-8199\CP-8102.pdf,2,1700,2200,Light,932,399,999,429,99,1,4
samples\CP-8100-8199\CP-8102.pdf,2,1700,2200,-,1009,413,1017,415,99,1,5
samples\CP-8100-8199\CP-8102.pdf,2,1700,2200,Panel,1027,399,1095,421,99,1,6
samples\CP-8100-8199\CP-8102.pdf,2,1700,2200,Door,1105,400,1169,421,99,1,7
samples\CP-8100-8199\CP-8102.pdf,2,1700,2200,Mount,1177,400,1260,421,99,1,8
samples\CP-8100-8199\CP-8102.pdf,2,1700,2200,Xx,1466,398,1488,419,99,1,9
samples\CP-8100-8199\CP-8102.pdf,2,1700,2200,Alarm,843,438,923,460,99,2,1
samples\CP-8100-8199\CP-8102.pdf,2,1700,2200,Light,932,438,999,468,99,2,2
samples\CP-8100-8199\CP-8102.pdf,2,1700,2200,-,1009,452,1017,454,99,2,3
samples\CP-8100-8199\CP-8102.pdf,2,1700,2200,Panel,1027,438,1095,460,99,2,4
samples\CP-8100-8199\CP-8102.pdf,2,1700,2200,Top,1105,439,1153,468,99,2,5
samples\CP-8100-8199\CP-8102.pdf,2,1700,2200,Mount,1163,439,1246,460,99,2,6
samples\CP-8100-8199\CP-8102.pdf,2,1700,2200,Alarm,843,474,923,496,99,3,1
samples\CP-8100-8199\CP-8102.pdf,2,1700,2200,Light,932,474,999,503,99,3,2
samples\CP-8100-8199\CP-8102.pdf,2,1700,2200,-,1009,488,1017,490,99,3,3
samples\CP-8100-8199\CP-8102.pdf,2,1700,2200,Remote,1027,475,1123,496,99,3,4
samples\CP-8100-8199\CP-8102.pdf,2,1700,2200,Alarm,843,510,923,532,99,4,1
samples\CP-8100-8199\CP-8102.pdf,2,1700,2200,Test,932,511,985,532,99,4,2
samples\CP-8100-8199\CP-8102.pdf,2,1700,2200,Switch,995,510,1080,532,99,4,3
samples\CP-8100-8199\CP-8102.pdf,2,1700,2200,Alarm,843,546,923,568,99,5,1
samples\CP-8100-8199\CP-8102.pdf,2,1700,2200,Silence,933,546,1023,568,99,5,2
samples\CP-8100-8199\CP-8102.pdf,2,1700,2200,Switch,1034,546,1119,568,99,5,3
samples\CP-8100-8199\CP-8102.pdf,2,1700,2200,Alarm,843,581,923,603,99,6,1
samples\CP-8100-8199\CP-8102.pdf,2,1700,2200,Acknowledge,932,581,1105,610,99,6,2
samples\CP-8100-8199\CP-8102.pdf,2,1700,2200,Switch,1116,581,1201,603,99,6,3
samples\CP-8100-8199\CP-8102.pdf,2,1700,2200,Alternator,843,617,972,639,99,7,1
samples\CP-8100-8199\CP-8102.pdf,2,1700,2200,with,981,617,1036,639,99,7,2
samples\CP-8100-8199\CP-8102.pdf,2,1700,2200,Lead,1045,617,1107,639,99,7,3
samples\CP-8100-8199\CP-8102.pdf,2,1700,2200,Pump,1116,618,1187,646,99,7,4
samples\CP-8100-8199\CP-8102.pdf,2,1700,2200,Selector,1198,617,1300,639,99,7,5
samples\CP-8100-8199\CP-8102.pdf,2,1700,2200,Switch,1309,617,1395,639,99,7,6
samples\CP-8100-8199\CP-8102.pdf,2,1700,2200,Audible,843,652,943,674,99,8,1
samples\CP-8100-8199\CP-8102.pdf,2,1700,2200,Alarm,953,652,1032,674,99,8,2
samples\CP-8100-8199\CP-8102.pdf,2,1700,2200,-,1042,666,1050,668,99,8,3
samples\CP-8100-8199\CP-8102.pdf,2,1700,2200,Bell,1060,652,1111,674,99,8,4
samples\CP-8100-8199\CP-8102.pdf,2,1700,2200,Audible,843,686,943,708,99,9,1
samples\CP-8100-8199\CP-8102.pdf,2,1700,2200,Alarm,953,686,1032,708,99,9,2
samples\CP-8100-8199\CP-8102.pdf,2,1700,2200,-,1042,700,1050,702,99,9,3
samples\CP-8100-8199\CP-8102.pdf,2,1700,2200,Horn,1060,687,1123,708,99,9,4
samples\CP-8100-8199\CP-8102.pdf,2,1700,2200,Audible,843,720,943,742,99,10,1
samples\CP-8100-8199\CP-8102.pdf,2,1700,2200,Alarm,953,720,1032,742,99,10,2
samples\CP-8100-8199\CP-8102.pdf,2,1700,2200,-,1042,734,1050,736,99,10,3
samples\CP-8100-8199\CP-8102.pdf,2,1700,2200,Piezzo,1060,721,1142,742,99,10,4
